Id,SalePrice
1461,133568.64
1462,166031.27
1463,182783.27
1464,190615.69
1465,203327.34
1466,171973.27
1467,171031.16
1468,170407.08
1469,186992.72
1470,130484.27
1471,190632.22
1472,91587.734
1473,89174.98
1474,150679.55
1475,134980.56
1476,391108.1
1477,267640.88
1478,308883.6
1479,294417.47
1480,494851.25
1481,341074.0
1482,210156.0
1483,178171.48
1484,172142.12
1485,182596.52
1486,189993.08
1487,356863.72
1488,243316.95
1489,202968.02
1490,232320.1
1491,199792.47
1492,84828.86
1493,190392.3
1494,309562.75
1495,337576.3
1496,231788.05
1497,171865.55
1498,165595.72
1499,167567.64
1500,151875.31
1501,160815.6
1502,154313.67
1503,301549.5
1504,219123.45
1505,217056.75
1506,189564.11
1507,249761.1
1508,207177.11
1509,163380.3
1510,142846.0
1511,140658.47
1512,169436.52
1513,146372.27
1514,181657.69
1515,206103.62
1516,167713.27
1517,174623.4
1518,144009.94
1519,221864.27
1520,130294.164
1521,141387.12
1522,160651.31
1523,109003.07
1524,129994.18
1525,134409.28
1526,132099.2
1527,100353.39
1528,136798.36
1529,135247.92
1530,179877.64
1531,116805.67
1532,109835.27
1533,130341.22
1534,115208.87
1535,177735.98
1536,106052.33
1537,74043.445
1538,175102.25
1539,217452.58
1540,129424.72
1541,146796.56
1542,124532.77
1543,222235.45
1544,84250.81
1545,112378.336
1546,120020.43
1547,126284.13
1548,132186.08
1549,110056.78
1550,124569.19
1551,121682.33
1552,141745.97
1553,154756.62
1554,110969.34
1555,170517.92
1556,74597.875
1557,100734.45
1558,86398.41
1559,78976.766
1560,132591.94
1561,146882.19
1562,121619.41
1563,112976.766
1564,162913.45
1565,155824.97
1566,234374.36
1567,67988.15
1568,227003.53
1569,157612.03
1570,146145.48
1571,128238.62
1572,153370.36
1573,270027.1
1574,116248.055
1575,228842.52
1576,226928.42
1577,193907.38
1578,143549.9
1579,154545.61
1580,200129.25
1581,155793.67
1582,117746.195
1583,342071.44
1584,223762.88
1585,145891.5
1586,83793.84
1587,93656.516
1588,145634.7
1589,112210.125
1590,123766.3
1591,87649.41
1592,121409.055
1593,122806.164
1594,211947.77
1595,109418.17
1596,224711.19
1597,183681.0
1598,213227.3
1599,196857.05
1600,194805.52
1601,81181.8
1602,109876.51
1603,100613.02
1604,276350.2
1605,276933.5
1606,164198.14
1607,167756.05
1608,243341.1
1609,198640.11
1610,156174.23
1611,138386.8
1612,174101.2
1613,159666.64
1614,131414.02
1615,87371.84
